status,country,from_name,to_name,reason,score,occurrences,sample_files,,
approve,DEN,Magnus Dewet,Magnus Dewett,iof-fuzzy,dist=1 ratio=0.96,2,"2011/long.csv, 2011/sprint.csv",,
approve,DEN,Miri Thrane Rdum,Miri Thrane Oedum,iof-fuzzy,dist=1 ratio=0.97,2,"2010/long.csv, 2010/sprint.csv",,
approve,DEN,Alberte Kaae-Nielse,Alberte Kaae Nielsen,iof-fuzzy,dist=1 ratio=0.95,1,2017/relay.csv,,
approve,ESP,Diego Aimar Urquizu,Aimar Urquizu Diego,iof-fuzzy,dist=0 ratio=1.00,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,ESP,Eduardo Gil Marco,Eduardo Gil Marcos,iof-fuzzy,dist=1 ratio=0.97,3,"2012/long.csv, 2012/relay.csv, 2012/sprint.csv",,
approve,ESP,Marina Gracia Castro,Marina Garcia Castro,iof-fuzzy,dist=2 ratio=0.95,3,"2012/long.csv, 2012/relay.csv, 2012/sprint.csv",,
approve,ESP,del Campo Alba Munoz,Alba Munoz del Campo,iof-fuzzy,dist=0 ratio=1.00,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,EST,Hannula-Katrin Pandis,Hannula Katrin Pandis,iof-fuzzy,dist=1 ratio=0.95,6,"2005/long.csv, 2005/sprint.csv, 2006/long.csv, 2006/relay.csv",,
approve,FIN,Henna-Riikka Haikonen,Henna Riikka Haikonen,iof-fuzzy,dist=1 ratio=0.95,3,"2010/long.csv, 2010/relay.csv, 2010/sprint.csv",,
approve,FIN,Ella-Noora Rahkola,Ella Noora Rahkola,iof-fuzzy,dist=1 ratio=0.94,2,"2013/long.csv, 2013/sprint.csv",,
approve,FRA,Becaert Antoine,Antoine Becaert,iof-fuzzy,dist=0 ratio=1.00,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Vallet Mathias Barros,Mathias Barros Vallet,iof-fuzzy,dist=0 ratio=1.00,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,FRA,Villar Zoe,Zoe Villar,iof-fuzzy,dist=0 ratio=1.00,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Lucas Toulier-Ancian,Lucas Toulier Ancian,iof-fuzzy,dist=1 ratio=0.95,2,"2012/long.csv, 2012/sprint.csv",,
approve,FRA,Olivier Blanc Tranchand,Olivier Blanc Tranchant,iof-fuzzy,dist=1 ratio=0.96,2,"2010/long.csv, 2010/sprint.csv",,
approve,FRA,Olivier Blanc-Tranchand,Olivier Blanc Tranchant,iof-fuzzy,dist=1 ratio=0.96,1,2010/relay.csv,,
approve,GER,Dorothea Muller,Dorothea Mueller,iof-fuzzy,dist=1 ratio=0.97,11,"2012/long.csv, 2012/relay.csv, 2012/sprint.csv, 2013/long.csv",,
