IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
44253;Eszter;Golda;HUN;776;3351;3;1117.0;
37685;Julia;Neda;HUN;777;3350;3;1116.7;
44286;Sandra;Bostrom;SWE;778;3337;3;1112.3;
45386;Gemma;Burley;AUS;779;3335;4;833.8;
41702;Celine;Wellenreiter;SUI;780;3328;3;1109.3;
42320;Ema;Cerna;CZE;781;3325;3;1108.3;
33245;Fumika;Sera;JPN;782;3319;4;829.8;
24232;Evangelina;Dyaksova;BUL;783;3316;3;1105.3;
47397;Justine;Pellissier;FRA;784;3313;3;1104.3;
5400;Emma;Silvennoinen;FIN;784;3313;3;1104.3;
36581;Nina;Karna;FIN;786;3312;3;1104.0;
25007;Kateryna;Dzema;UKR;787;3311;3;1103.7;
49797;Emma;Bednarikova;CZE;787;3311;3;1103.7;
37597;Flora;Aigmueller;AUT;789;3307;3;1102.3;
52699;Abbie;Walker;GBR;789;3307;4;826.8;
50857;Melina;Riediker;SUI;791;3303;3;1101.0;
4955;Edineia;Roniak dos Santos;BRA;792;3297;4;824.3;
49994;Helmi;Karkiainen;FIN;792;3297;3;1099.0;
3577;Vieda;Lusa;LAT;794;3293;3;1097.7;
192;Anna;Serrallonga Arques;ESP;795;3291;3;1097.0;
42041;Anne;Kaestner;GER;796;3284;3;1094.7;
33988;Eline;Gemperle;SUI;797;3282;3;1094.0;
4857;Anna;Reinhardt;GER;798;3281;3;1093.7;
43321;Emma;Katajamaki;FIN;799;3280;3;1093.3;
37329;Emmi;Kiljunen;FIN;800;3274;3;1091.3;
33569;Bibiana;Sartori Chagas;BRA;801;3264;4;816.0;
25074;Fuka;Moriya;JPN;802;3263;5;652.6;
37467;Laura;Berke;LAT;803;3262;3;1087.3;
50008;Anna;Korpi;FIN;804;3255;3;1085.0;
54525;Marion;Valette;FRA;805;3248;3;1082.7;
25358;Kaarina;Nurminen;FIN;806;3246;3;1082.0;
46662;Dorja;Salopek;CRO;807;3245;3;1081.7;
41759;Noemi;Zacher;HUN;808;3240;3;1080.0;
40180;Mariia;Hoienko;UKR;809;3237;3;1079.0;
19703;Zuzanna;Wanczyk;POL;810;3209;3;1069.7;
1840;Kamila;Gregorova;CZE;811;3197;3;1065.7;
23980;Roanne;Lilley;GBR;812;3195;3;1065.0;
33555;Eliza;Ozola;LAT;813;3193;3;1064.3;
47112;Iida;Koskinen;FIN;814;3191;3;1063.7;
42230;Laura;Odor;HUN;815;3184;3;1061.3;
50789;Julie;Fomasi;SUI;816;3183;3;1061.0;
37849;Caterina;Dallera;ITA;816;3183;3;1061.0;
36940;Roosa;Pelkonen;FIN;818;3181;3;1060.3;
55581;Vika;Zhuravleva;IIA;818;3181;3;1060.3;
